business_name,address,phone,email,website,rating,review_count,google_maps_url,image_url,place_id,has_website,speed_ms,has_title,has_meta_desc,has_h1,score,issues
House of Smokez - 24/7 Smoke Shop,"4620 Washington Ave Suite A, Houston, TX 77007",(832) 249-7899,,https://linktr.ee/HouseofSmokez,4.9,840,https://www.google.com/maps/search/?api=1&query=House%20of%20Smokez%20-%2024%2F7%20Smoke%20Shop&query_place_id=ChIJW9FRXW3BQIYRNl0guG8ucwE,,ChIJW9FRXW3BQIYRNl0guG8ucwE,true,,,,,,
Burn Smoke Shop 2,"3107 S Shepherd Dr, Houston, TX 77098",(713) 527-8390,,https://burnsmokeshophouston.com/smoke-shop-montrose-77098/,4.6,158,https://www.google.com/maps/search/?api=1&query=Burn%20Smoke%20Shop%202&query_place_id=ChIJk0s6PJLAQIYR1HYDbcaxUKg,,ChIJk0s6PJLAQIYR1HYDbcaxUKg,true,,,,,,
EaDo Glass & Smoke (moved to the Heights),"2124 N Main St, Houston, TX 77009",(832) 232-3236,,http://www.eadoglassandsmoke.com/,4.7,384,https://www.google.com/maps/search/?api=1&query=EaDo%20Glass%20%26%20Smoke%20(moved%20to%20the%20Heights)&query_place_id=ChIJp80mv2y_QIYRI1h9eLWCV7w,,ChIJp80mv2y_QIYRI1h9eLWCV7w,true,,,,,,
Herb -N- Legend Smoke Shop,"3624 Washington Ave, Houston, TX 77007",(713) 426-4372,,,4.7,382,https://www.google.com/maps/search/?api=1&query=Herb%20-N-%20Legend%20Smoke%20Shop&query_place_id=ChIJuRW9G6vAQIYROuZULAAz5tE,,ChIJuRW9G6vAQIYROuZULAAz5tE,false,,,,,,
"King Smoke Shop & Cellphones, Repair","1857 Richmond Ave Ste A, Houston, TX 77098",(713) 528-0999,,,4.9,109,https://www.google.com/maps/search/?api=1&query=King%20Smoke%20Shop%20%26%20Cellphones%2C%20Repair&query_place_id=ChIJSwkIq4_AQIYRLhhvcCf4TW8,,ChIJSwkIq4_AQIYRLhhvcCf4TW8,false,,,,,,
Fly Smoke Shop,"2117 Chenevert St suit L, Houston, TX 77003",(713) 505-1315,,,4.2,86,https://www.google.com/maps/search/?api=1&query=Fly%20Smoke%20Shop&query_place_id=ChIJ8yRwhwu_QIYRQ9FKuMiNrbE,,ChIJ8yRwhwu_QIYRQ9FKuMiNrbE,false,,,,,,
SMOKE ALLEY,"4620 Dacoma St, Houston, TX 77092",(713) 688-0600,,http://smokealley.com/,4.9,868,https://www.google.com/maps/search/?api=1&query=SMOKE%20ALLEY&query_place_id=ChIJ7XY_14zGQIYRFanf99J--_Q,,ChIJ7XY_14zGQIYRFanf99J--_Q,true,,,,,,
365 SMOKE VAPE SHOP,"2720 Southwest Fwy SUITE B, Houston, TX 77098",(281) 888-4790,,http://www.365vapeandsmoke.com/,4.9,379,https://www.google.com/maps/search/?api=1&query=365%20SMOKE%20VAPE%20SHOP&query_place_id=ChIJQ_CxRZXBQIYRP4kbj7zOPa4,,ChIJQ_CxRZXBQIYRP4kbj7zOPa4,true,,,,,,
Still Smokin Smoke Shop & Vape Bar & CBD & Kratom,"6359 Westheimer Rd, Houston, TX 77057",(832) 834-4769,,https://www.facebook.com/stillsmoking01/,4.8,395,https://www.google.com/maps/search/?api=1&query=Still%20Smokin%20Smoke%20Shop%20%26%20Vape%20Bar%20%26%20CBD%20%26%20Kratom&query_place_id=ChIJKZNYGMfDQIYR3ZhvMkhRjjA,,ChIJKZNYGMfDQIYR3ZhvMkhRjjA,true,,,,,,
TJ's Smoke Shop Houston Heights,"126 Heights Blvd #112-B, Houston, TX 77007",(713) 497-5100,,,4.6,30,https://www.google.com/maps/search/?api=1&query=TJ's%20Smoke%20Shop%20Houston%20Heights&query_place_id=ChIJ4fe9iC7BQIYRSotklnij4iQ,,ChIJ4fe9iC7BQIYRSotklnij4iQ,false,,,,,,
SMOKE ALLEY,"6239 Westheimer Rd, Houston, TX 77057",(713) 688-0600,,http://smokealley.com/,4.9,1250,https://www.google.com/maps/search/?api=1&query=SMOKE%20ALLEY&query_place_id=ChIJjdZ8vcbDQIYRDS5dXwwkdDw,,ChIJjdZ8vcbDQIYRDS5dXwwkdDw,true,,,,,,
Pineapple Xpress Smoke Shop Westheimer Rd,"6460 Westheimer Rd, Houston, TX 77057",(832) 834-3195,,https://westheimer.pine-applexpress.com/,4.9,633,https://www.google.com/maps/search/?api=1&query=Pineapple%20Xpress%20Smoke%20Shop%20Westheimer%20Rd&query_place_id=ChIJV5wRu77DQIYR9d8jyrgLvfk,,ChIJV5wRu77DQIYR9d8jyrgLvfk,true,,,,,,
Pineapple Xpress Smoke Shop FM-1960 RD,"9581 FM 1960, Houston, TX 77064",(281) 955-5367,,http://xpress.pine-applexpress.com/,4.8,1138,https://www.google.com/maps/search/?api=1&query=Pineapple%20Xpress%20Smoke%20Shop%20FM-1960%20RD&query_place_id=ChIJkeY55_vRQIYRpAzye36Kt58,,ChIJkeY55_vRQIYRpAzye36Kt58,true,,,,,,
TEXAN SMOKE SHOP,"1822 N Main St d, Houston, TX 77009",(713) 993-6616,,,5,719,https://www.google.com/maps/search/?api=1&query=TEXAN%20SMOKE%20SHOP&query_place_id=ChIJ45GRT9W5QIYRpDP9EVKF2wY,,ChIJ45GRT9W5QIYRpDP9EVKF2wY,false,,,,,,
Memorial Smoke & Vape,"1333 Gessner Rd suite B, Houston, TX 77055",(713) 973-6418,,,5,966,https://www.google.com/maps/search/?api=1&query=Memorial%20Smoke%20%26%20Vape&query_place_id=ChIJt0nG40HFQIYR5VUC-yS4atU,,ChIJt0nG40HFQIYR5VUC-yS4atU,false,,,,,,
SUPREME SMOKE OPEN 24 HOURS & VAPE & KRATOM &7OH & THC & HOOKAH & CIGARS & GLASS PIPES & CBD,"2620 S Shepherd Dr suite d, Houston, TX 77098",(518) 961-7393,,,5,83,https://www.google.com/maps/search/?api=1&query=SUPREME%20SMOKE%20OPEN%2024%20HOURS%20%26%20VAPE%20%26%20KRATOM%20%267OH%20%26%20THC%20%26%20HOOKAH%20%26%20CIGARS%20%26%20GLASS%20PIPES%20%26%20CBD&query_place_id=ChIJyagoNgHBQIYRc-iI2wBD8Qw,,ChIJyagoNgHBQIYRc-iI2wBD8Qw,false,,,,,,
SUPREME SMOKE OPEN 24 HOURS & VAPE & KRATOM & THC & HOOKAH & CIGARS & GLASS PIPES & CBD,"11635 Katy Fwy, Houston, TX 77079",(346) 829-6888,,,5,443,https://www.google.com/maps/search/?api=1&query=SUPREME%20SMOKE%20OPEN%2024%20HOURS%20%26%20VAPE%20%26%20KRATOM%20%26%20THC%20%26%20HOOKAH%20%26%20CIGARS%20%26%20GLASS%20PIPES%20%26%20CBD&query_place_id=ChIJHY-CCXPbQIYRMuJkCcRIDf8,,ChIJHY-CCXPbQIYRMuJkCcRIDf8,false,,,,,,
Vitrum Smoke Shop,"2503 Montrose Blvd, Houston, TX 77006",(832) 831-2488,,,4.6,204,https://www.google.com/maps/search/?api=1&query=Vitrum%20Smoke%20Shop&query_place_id=ChIJKbyqnOe_QIYRaU6BByCUAm0,,ChIJKbyqnOe_QIYRaU6BByCUAm0,false,,,,,,
Pineapple Xpress Smoke Shop Bellfort Houston,"10701 W Bellfort Ave b182, Houston, TX 77099",(281) 575-0076,,http://www.pine-applexpress.com/,4.8,1153,https://www.google.com/maps/search/?api=1&query=Pineapple%20Xpress%20Smoke%20Shop%20Bellfort%20Houston&query_place_id=ChIJl4Srr-bnQIYRsbq4Z2r612g,,ChIJl4Srr-bnQIYRsbq4Z2r612g,true,,,,,,
Verde Planet,"3016 Canal St, Houston, TX 77003",,,,4.7,180,https://www.google.com/maps/search/?api=1&query=Verde%20Planet&query_place_id=ChIJpVWwBzC_QIYRYu2sCfstJvc,,ChIJpVWwBzC_QIYRYu2sCfstJvc,false,,,,,,
SMOKEYDOKE Dispensary & Cigars,"10555 Westheimer Rd Unit D, Houston, TX 77042",(832) 582-5502,,https://smokeydoke.com/,5,1578,https://www.google.com/maps/search/?api=1&query=SMOKEYDOKE%20Dispensary%20%26%20Cigars&query_place_id=ChIJVWfNYaDdQIYRdvSGZ2MP4WU,,ChIJVWfNYaDdQIYRdvSGZ2MP4WU,true,,,,,,
Smoke Therapy,"9211 West Rd #141, Houston, TX 77064",(832) 604-6659,,https://instagram.com/smoketherapy713,4.8,57,https://www.google.com/maps/search/?api=1&query=Smoke%20Therapy&query_place_id=ChIJ4UgB5dLPQIYR5eCbyV1M5is,,ChIJ4UgB5dLPQIYR5eCbyV1M5is,true,,,,,,
South Main Boutique & Smoke,"9277 S Main St, Houston, TX 77025",(281) 779-5143,,,4.6,89,https://www.google.com/maps/search/?api=1&query=South%20Main%20Boutique%20%26%20Smoke&query_place_id=ChIJIch7ICTAQIYRviaET9o4UT4,,ChIJIch7ICTAQIYRviaET9o4UT4,false,,,,,,
Vape City,"1544 Westheimer Rd #1, Houston, TX 77006",(832) 767-1078,,https://vapecity.us/,4.4,125,https://www.google.com/maps/search/?api=1&query=Vape%20City&query_place_id=ChIJjw2Rc47BQIYR6X22rbZt1eg,,ChIJjw2Rc47BQIYR6X22rbZt1eg,true,,,,,,
"House of Smokez - Smoke Shop, Vape Shop & More Westheimer","15205 Westheimer Rd Suite C, Houston, TX 77082",(832) 755-3864,,https://linktr.ee/HouseofSmokez,4.9,627,https://www.google.com/maps/search/?api=1&query=House%20of%20Smokez%20-%20Smoke%20Shop%2C%20Vape%20Shop%20%26%20More%20Westheimer&query_place_id=ChIJmZF2kRnfQIYRdYB9CgDIwOU,,ChIJmZF2kRnfQIYRdYB9CgDIwOU,true,,,,,,
Z's Smoke Shop,"5801 Washington Ave, Houston, TX 77007",(832) 499-8524,,,5,142,https://www.google.com/maps/search/?api=1&query=Z's%20Smoke%20Shop&query_place_id=ChIJPWumo8vBQIYRU07qeAmsRN8,,ChIJPWumo8vBQIYRU07qeAmsRN8,false,,,,,,
Pineapple Xpress Smoke Shop South Main,"9150 S Main St Suite B3, Houston, TX 77025",(346) 335-7755,,https://south-main.pine-applexpress.com/,4.8,288,https://www.google.com/maps/search/?api=1&query=Pineapple%20Xpress%20Smoke%20Shop%20South%20Main&query_place_id=ChIJKyKW3LDBQIYRCjlM2LQ1OdA,,ChIJKyKW3LDBQIYRCjlM2LQ1OdA,true,,,,,,
ARIZE CBD VAPE CIGARS SMOKE SHOP,"3401 N Shepherd Dr Suite 2A, Houston, TX 77018",(832) 364-2472,,,5,107,https://www.google.com/maps/search/?api=1&query=ARIZE%20CBD%20VAPE%20CIGARS%20SMOKE%20SHOP&query_place_id=ChIJUZr9uZzHQIYRneI0lcyFKT0,,ChIJUZr9uZzHQIYRneI0lcyFKT0,false,,,,,,
SUPREME SMOKE OPEN 24 HOURS & VAPE & KRATOM &7OH & THC & HOOKAH & CIGARS & GLASS PIPES & CBD,"11460 Fuqua St #800, Houston, TX 77089",(346) 829-4073,,,5,1034,https://www.google.com/maps/search/?api=1&query=SUPREME%20SMOKE%20OPEN%2024%20HOURS%20%26%20VAPE%20%26%20KRATOM%20%267OH%20%26%20THC%20%26%20HOOKAH%20%26%20CIGARS%20%26%20GLASS%20PIPES%20%26%20CBD&query_place_id=ChIJUWQoipGZQIYR15Iu-IQshbc,,ChIJUWQoipGZQIYR15Iu-IQshbc,false,,,,,,
"DS Smoke Shop & Vape Shop | Dispensary $5/G EXOTIC FLOWER","3929 Old Spanish Trl STE #90, Houston, TX 77021",(346) 330-9396,,https://dssmokeshop.com/,5,991,https://www.google.com/maps/search/?api=1&query=DS%20Smoke%20Shop%20%26%20Vape%20Shop%20%7C%20Dispensary%20%245%2FG%20EXOTIC%20FLOWER&query_place_id=ChIJ8UrTX7e_QIYRqJNudIv0Dxg,,ChIJ8UrTX7e_QIYRqJNudIv0Dxg,true,,,,,,
"House of Smokes Dispensary & Smoke Shop CBD, Kratom, Vape Shop, Hookah, Delta 8, THC-A","3802 S Gessner Rd Ste 400, Houston, TX 77063",(832) 519-9315,,http://houseofsmokes.us/?utm_source=gmb&utm_medium=referral,4.9,303,https://www.google.com/maps/search/?api=1&query=House%20of%20Smokes%20Dispensary%20%26%20Smoke%20Shop%20CBD%2C%20Kratom%2C%20Vape%20Shop%2C%20Hookah%2C%20Delta%208%2C%20THC-A&query_place_id=ChIJuYD6mArDQIYRGBsaDuP3dNI,,ChIJuYD6mArDQIYRGBsaDuP3dNI,true,,,,,,
Dr. Feel Good Smoke Shop,"3527 Yellowstone Blvd Suite A, Houston, TX 77021",(346) 980-8134,,https://doctorfeelgood.me/,4.7,85,https://www.google.com/maps/search/?api=1&query=Dr.%20Feel%20Good%20Smoke%20Shop&query_place_id=ChIJJWpXtJW_QIYR40g2gf48IlU,,ChIJJWpXtJW_QIYR40g2gf48IlU,true,,,,,,
"EAGLE SMOKE SHOP & TOBACCO | OPEN 24 HOURS","4407b Cypress Creek Pkwy, Houston, TX 77068",(470) 494-3608,,,5,345,https://www.google.com/maps/search/?api=1&query=EAGLE%20SMOKE%20SHOP%20%26%20TOBACCO%20%7C%20OPEN%2024%20HOURS&query_place_id=ChIJr7rFmk3NQIYReO4VndcF4Dc,,ChIJr7rFmk3NQIYReO4VndcF4Dc,false,,,,,,
Pineapple Xpress Smoke Shop Greater Heights,"3206 Houston Ave, Houston, TX 77009",(713) 485-4800,,https://greaterheights.pine-applexpress.com/,4.9,74,https://www.google.com/maps/search/?api=1&query=Pineapple%20Xpress%20Smoke%20Shop%20Greater%20Heights&query_place_id=ChIJx6wV1lW5QIYRylwl4nLtFC4,,ChIJx6wV1lW5QIYRylwl4nLtFC4,true,,,,,,
HUB smoke and vape,"12970 Westheimer Rd #155, Houston, TX 77077",(281) 741-2306,,,4.8,751,https://www.google.com/maps/search/?api=1&query=HUB%20smoke%20and%20vape&query_place_id=ChIJZ0sVDOXdQIYRNqQ_Pw7acM4,,ChIJZ0sVDOXdQIYRNqQ_Pw7acM4,false,,,,,,
"ZenBlendz Smokez | Vintage Shop | Tattoo Supplies|THC-A| 3Chi | Hometown Hero","2814 S Shepherd Dr D, Houston, TX 77098",(713) 432-9516,,https://vintageshophouston.com/,5,131,https://www.google.com/maps/search/?api=1&query=ZenBlendz%20Smokez%20%7C%20Vintage%20Shop%20%7C%20Tattoo%20Supplies%7CTHC-A%7C%203Chi%20%7C%20Hometown%20Hero&query_place_id=ChIJc7wESwHBQIYR1_VrVX9fFdM,,ChIJc7wESwHBQIYR1_VrVX9fFdM,true,,,,,,
"365 SMOKE VAPE SHOP LAWNDALE | OPEN 24 HOURS | SMOKE SHOP | E-JUICE | VAPE | HOOKAH | CIGARS | HEMP | GLASS PIPE","7241 Lawndale St Suite A, Houston, TX 77012",(346) 571-4987,,https://www.365vapeandsmoke.com/,4.9,110,https://www.google.com/maps/search/?api=1&query=365%20SMOKE%20VAPE%20SHOP%20LAWNDALE%20%7C%20OPEN%2024%20HOURS%20%7C%20SMOKE%20SHOP%20%7C%20E-JUICE%20%7C%20VAPE%20%7C%20HOOKAH%20%7C%20CIGARS%20%7C%20HEMP%20%7C%20GLASS%20PIPE&query_place_id=ChIJFbHQrtm9QIYRJjwpn7EjaLM,,ChIJFbHQrtm9QIYRJjwpn7EjaLM,true,,,,,,
High End Smoke Shop,"7925 Katy Fwy k, Houston, TX 77024",(832) 649-7716,,,3.8,177,https://www.google.com/maps/search/?api=1&query=High%20End%20Smoke%20Shop&query_place_id=ChIJUaxwp6fGQIYRZsihFTmkf8A,,ChIJUaxwp6fGQIYRZsihFTmkf8A,false,,,,,,
Plush Smoke Shop,"14520 Memorial Dr APT 68, Houston, TX 77079",(832) 664-8991,,http://memorialsmokeshop.net/,4.9,162,https://www.google.com/maps/search/?api=1&query=Plush%20Smoke%20Shop&query_place_id=ChIJZ7iu6x7bQIYRfA0PNVKbJUg,,ChIJZ7iu6x7bQIYRfA0PNVKbJUg,true,,,,,,
SmokEnjoy Smoke & Vape Shop,"4922 Washington Ave, Houston, TX 77007",(713) 497-5276,,https://smokenjoyhoustons.com/?utm_source=GBP,4.9,374,https://www.google.com/maps/search/?api=1&query=SmokEnjoy%20Smoke%20%26%20Vape%20Shop&query_place_id=ChIJYx1gybTAQIYR1YIfTPIzXRI,,ChIJYx1gybTAQIYR1YIfTPIzXRI,true,,,,,,
Bahama Mama N Shepherd,"1008 N Shepherd Dr, Houston, TX 77008",(346) 335-8986,,http://www.bahama-mama.com/,4.9,336,https://www.google.com/maps/search/?api=1&query=Bahama%20Mama%20N%20Shepherd&query_place_id=ChIJd3IPnpPHQIYROWVQ0OjdxIM,,ChIJd3IPnpPHQIYROWVQ0OjdxIM,true,,,,,,
"Bammel SMOKE Shop| Vape Store| DISPENSARY | CBD| Kratom| Vape Shop| Hookah| Delta 8| Vape | THC Flower | Hemp | Kratom|","10911 Bammel North Houston Rd Suite B, Houston, TX 77086",(832) 672-2007,,https://bammelsmokeshop.netlify.app/,4.8,188,https://www.google.com/maps/search/?api=1&query=Bammel%20SMOKE%20Shop%7C%20Vape%20Store%7C%20DISPENSARY%20%7C%20CBD%7C%20Kratom%7C%20Vape%20Shop%7C%20Hookah%7C%20Delta%208%7C%20Vape%20%7C%20THC%20Flower%20%7C%20Hemp%20%7C%20Kratom%7C&query_place_id=ChIJ84tU9r3OQIYRAGFoSTymllc,,ChIJ84tU9r3OQIYRAGFoSTymllc,true,,,,,,
HYJRO GLIFFIX SMOKE SHOP,"303 W Gray St #B, Houston, TX 77019",(832) 597-1479,,,4.9,48,https://www.google.com/maps/search/?api=1&query=HYJRO%20GLIFFIX%20SMOKE%20SHOP&query_place_id=ChIJu2H9HSq_QIYRXTkJ6T7PPUE,,ChIJu2H9HSq_QIYRXTkJ6T7PPUE,false,,,,,,
365 Smoke Vape Shop,"2120 A1 S Wayside Dr, Houston, TX 77023",(346) 571-7840,,http://www.365vapeandsmoke.com/,4.9,201,https://www.google.com/maps/search/?api=1&query=365%20Smoke%20Vape%20Shop&query_place_id=ChIJrd16r2-_QIYR6rlsX2VR8lU,,ChIJrd16r2-_QIYR6rlsX2VR8lU,true,,,,,,
"SMOKE VAPE POT | SMOKE SHOP & VAPE SHOP HOUSTON TX | DELTA 8 | THCA | THCP | KRATOM | CBD | HOOKAH | GLASS PIPES","5417 Anderson Rd Suite D, Houston, TX 77053",(281) 888-5913,,http://www.smokeandvapepot.com/,5,80,https://www.google.com/maps/search/?api=1&query=SMOKE%20VAPE%20POT%20%7C%20SMOKE%20SHOP%20%26%20VAPE%20SHOP%20HOUSTON%20TX%20%7C%20DELTA%208%20%7C%20THCA%20%7C%20THCP%20%7C%20KRATOM%20%7C%20CBD%20%7C%20HOOKAH%20%7C%20GLASS%20PIPES&query_place_id=ChIJebvxbEvrQIYRc9NM59J0GV4,,ChIJebvxbEvrQIYRc9NM59J0GV4,true,,,,,,
Cloud89 Smoke Shop,"9415 Glenfield Ct, Houston, TX 77096",(281) 544-0484,,https://shopcloud89.com/,4.9,855,https://www.google.com/maps/search/?api=1&query=Cloud89%20Smoke%20Shop&query_place_id=ChIJ43oYluDDQIYRyw9_jqiVQwo,,ChIJ43oYluDDQIYRyw9_jqiVQwo,true,,,,,,
Pineapple Xpress Smoke Shop Proper Heights,"1302 W 20th St, Houston, TX 77008",(713) 497-5756,,https://heights.pine-applexpress.com/,4.9,209,https://www.google.com/maps/search/?api=1&query=Pineapple%20Xpress%20Smoke%20Shop%20Proper%20Heights&query_place_id=ChIJO_MddzDHQIYRrymS1m2Pmb8,,ChIJO_MddzDHQIYRrymS1m2Pmb8,true,,,,,,
Premier Puff,"101 N Milby St Unit 6, Houston, TX 77003",(832) 972-8934,,https://www.instagram.com/premierpuff_htx/profilecard/?igsh=amp1Y3h6MTA2dzUx,5,642,https://www.google.com/maps/search/?api=1&query=Premier%20Puff&query_place_id=ChIJl6yE4AW_QIYRs_54jieJ4jE,,ChIJl6yE4AW_QIYRs_54jieJ4jE,true,,,,,,
Legends Smoke & Vape,"1801 Durham Dr UNIT 6, Houston, TX 77007",(713) 993-6688,,,4.7,224,https://www.google.com/maps/search/?api=1&query=Legends%20Smoke%20%26%20Vape&query_place_id=ChIJ6SLb4JzHQIYR5SVf7TfuB04,,ChIJ6SLb4JzHQIYR5SVf7TfuB04,false,,,,,,
Third Coast Smoke Shop,"2209 Ella Blvd, Houston, TX 77008",(713) 398-4406,,http://www.thirdcoastsmokeshop.com/,4.9,176,https://www.google.com/maps/search/?api=1&query=Third%20Coast%20Smoke%20Shop&query_place_id=ChIJP_zYymHHQIYROV_mLoDs894,,ChIJP_zYymHHQIYROV_mLoDs894,true,,,,,,
"BAHAMA MAMA MONTROSE SMOKE SHOP | Delta 8/9 | Delta 10 | THC A | THC V | THC P | CBD | Kratom | Vape | Cigars | Dispensary |","1665 Westheimer Rd SUITE A, Houston, TX 77006",(832) 629-0673,,http://bahama-mama.com/,4.9,947,https://www.google.com/maps/search/?api=1&query=BAHAMA%20MAMA%20MONTROSE%20SMOKE%20SHOP%20%7C%20Delta%208%2F9%20%7C%20Delta%2010%20%7C%20THC%20A%20%7C%20THC%20V%20%7C%20THC%20P%20%7C%20CBD%20%7C%20Kratom%20%7C%20Vape%20%7C%20Cigars%20%7C%20Dispensary%20%7C&query_place_id=ChIJwzDRK9zBQIYR4vXN_v2ymbI,,ChIJwzDRK9zBQIYR4vXN_v2ymbI,true,,,,,,
KushTimes 420 Smoke Shop,"4414 Airline Dr, Houston, TX 77022",(713) 692-1490,,,4.5,131,https://www.google.com/maps/search/?api=1&query=KushTimes%20420%20Smoke%20Shop&query_place_id=ChIJC0fVBnC4QIYRLHlSUdBlhOY,,ChIJC0fVBnC4QIYRLHlSUdBlhOY,false,,,,,,
A TO Z smokeshop,"8359 Winkler Dr, Houston, TX 77017",(346) 406-5089,,https://atozsmokeshops.com/,4.8,390,https://www.google.com/maps/search/?api=1&query=A%20TO%20Z%20smokeshop&query_place_id=ChIJz_O8kV-XQIYRTWsimHRZ14A,,ChIJz_O8kV-XQIYRTWsimHRZ14A,true,,,,,,
BEST PRICES SMOKE SHOP VAPE SHOP HOOKAH CBD KRATOM OPMS THC A HYDROXY GEEKBAR FOGER TYSON DELTA 9 PUFFCO ONE STOP SMOKE SHOP,"13310 Westheimer Rd #150, Houston, TX 77077",(346) 593-4700,,https://www.onestop-smokeshop.net/,5,1908,https://www.google.com/maps/search/?api=1&query=BEST%20PRICES%20SMOKE%20SHOP%20VAPE%20SHOP%20HOOKAH%20CBD%20KRATOM%20OPMS%20THC%20A%20HYDROXY%20GEEKBAR%20FOGER%20TYSON%20DELTA%209%20PUFFCO%20ONE%20STOP%20SMOKE%20SHOP&query_place_id=ChIJOVNhe_3dQIYRPnu2by5cE2A,,ChIJOVNhe_3dQIYRPnu2by5cE2A,true,,,,,,
"Bahama Mama Smoke Shop Studemont. CBD, Tobacco, Hookah, Cigars, Kratom, Delta THC, Disposables","920 Studemont St # 200, Houston, TX 77007",(346) 571-1107,,http://www.bahama-mama.com/,4.9,500,https://www.google.com/maps/search/?api=1&query=Bahama%20Mama%20Smoke%20Shop%20Studemont.%20CBD%2C%20Tobacco%2C%20Hookah%2C%20Cigars%2C%20Kratom%2C%20Delta%20THC%2C%20Disposables&query_place_id=ChIJ-TYXxMi_QIYR-0HRvdSwYto,,ChIJ-TYXxMi_QIYR-0HRvdSwYto,true,,,,,,
Smokey's,"5757 Westheimer Rd #100b, Houston, TX 77057",(281) 974-1504,,,4.8,97,https://www.google.com/maps/search/?api=1&query=Smokey's&query_place_id=ChIJof4PKb7DQIYRrRHRSsl9qzQ,,ChIJof4PKb7DQIYRrRHRSsl9qzQ,false,,,,,,
Smoke Studio LLC - Smoke Shop & Vape Shop product in Houston Texas,"9922 North Fwy E, Houston, TX 77037",(713) 539-4914,,,5,151,https://www.google.com/maps/search/?api=1&query=Smoke%20Studio%20LLC%20-%20Smoke%20Shop%20%26%20Vape%20Shop%20product%20in%20Houston%20Texas&query_place_id=ChIJcV-ftGnJQIYR6AsxArZ_8-I,,ChIJcV-ftGnJQIYR6AsxArZ_8-I,false,,,,,,
