business_name,website,has_website,website_status,ssl,load_time,mobile_friendly,audit_summary
"Bammel SMOKE Shop| Vape Store| DISPENSARY | CBD| Kratom| Vape Shop| Hookah| Delta 8| Vape | THC Flower | Hemp | Kratom|",https://bammelsmokeshop.netlify.app/,Yes,200,Yes,0.72s,Yes,Website loads successfully in 0.72s with SSL and appears well-optimised.
"Smoke Shop Station,Tattoo supplies, Vape, and Cigar",https://t.me/+l9-uvMuMA1cyZWFh,Yes,200,Yes,0.47s,Yes,Issues found: Missing meta description; No semantic HTML5 landmarks (header/nav/main). Load: 0.47s.
PLANET BUZZ SMOKE SHOP,,No,,No,,,No website found — could benefit from a modern online presence.
"Smoke N Cell 5 (Smoke shop, Delta 8, Vape Outlet, Phone Repair & More)",,No,,No,,,No website found — could benefit from a modern online presence.
"Excite Smoke and Vape, The best smoke shop in Houston",http://www.excitesmoke.com/,Yes,200,No,1.27s,Yes,Issues found: No SSL (HTTP only); 67/72 images missing alt text; Excessive inline styles (93 elements). No SSL. Load: 1.27s.
"Bahama Mama Champion Village | Vape | CBD | Kratom",http://www.bahama-mama.com/,Yes,200,No,0.52s,Yes,Issues found: No SSL (HTTP only); Missing meta description; 14/14 images missing alt text (+1 more). No SSL. Load: 0.52s.
The Bake Shop Smoke Collectives,,No,,No,,,No website found — could benefit from a modern online presence.
Papa smokes vape,,No,,No,,,No website found — could benefit from a modern online presence.
283 smoke,,No,,No,,,No website found — could benefit from a modern online presence.
Casa de Montecristo Cigar Lounge - FM 1960,https://www.casademontecristo.com/fm-1960/?utm_source=google&utm_medium=organic&utm_campaign=businessprofile,Yes,200,Yes,0.14s,No,Issues found: Missing mobile viewport meta tag; Missing <title> tag; Missing meta description (+2 more). Load: 0.14s.
Smo-king Smoke Shop & Dispensary,,No,,No,,,No website found — could benefit from a modern online presence.
Vape City,https://vapecity.us/,Yes,200,Yes,0.09s,Yes,Issues found: Missing meta description; 10/10 images missing alt text. Load: 0.09s.
Zeus Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
SMOKEYDOKE Vape Smoke & Dispensary,https://smokeydoke.com/,Yes,200,Yes,0.17s,Yes,Issues found: Missing meta description; 5/5 images missing alt text; No Open Graph social meta tags. Load: 0.17s.
SMOKE INN 2 - The Best Drive Thru Smoke Shop of Spring TX,http://www.smokeinn.us/,Yes,200,No,0.61s,Yes,Issues found: No SSL (HTTP only); Missing meta description; 4/4 images missing alt text (+1 more). No SSL. Load: 0.61s.
Puff Daddy Smoke Shop & Daiquiris,,No,,No,,,No website found — could benefit from a modern online presence.
SPRING SMOKE SHOP,,No,,No,,,No website found — could benefit from a modern online presence.
Smoke Paradise Shop,,No,,No,,,No website found — could benefit from a modern online presence.
Sound Revolution - MUSIC ● SKATE ● WEAR,https://www.soundrevolutionhtx.com/?utm_source=google&utm_medium=business_profile,Yes,200,Yes,0.28s,Yes,Issues found: Excessive inline styles (69 elements). Load: 0.28s.
2920 Smoke & Vape shop,,No,,No,,,No website found — could benefit from a modern online presence.
"WAY-UP SMOKE & DISPENSARY | THCA | CBD | VAPE | HOOKAH | HEMP | FM 1960",,No,,No,,,No website found — could benefit from a modern online presence.
SUPREME SMOKE OPEN 24 HOURS & VAPE & KRATOM &7OH & THC & HOOKAH & CIGARS & GLASS PIPES & CBD,https://jssmokeshop.odoo.com/,Yes,404,Yes,0.45s,No,Website returns error 404 — site may be broken or misconfigured.
Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
Total Wine & More,https://www.totalwine.com/store-info/texas-willowbrook/512?cid=referral:website_link::momentfeed:512_willowbrook_store_details_page:,Yes,403,Yes,0.31s,Yes,Website returns error 403 — site may be broken or misconfigured.
FRONTO Smoke Shop,https://www.leafly.com/cbd-store/fronto-smoke-shop,Yes,200,Yes,1.34s,Yes,Issues found: Excessive inline styles (221 elements). Load: 1.34s.
"BABA Smoke Shop, Vape Shop, THCA ,CBD , Hookah, Kratom,7ohmz, Kava, Premium Cigars,Tattoo supply",https://sites.google.com/view/baba-smoke-shop/about-us,Yes,200,Yes,0.55s,Yes,Issues found: Missing meta description; 6/6 images missing alt text; Excessive inline styles (395 elements). Load: 0.55s.
"Mad Dog Smoke Shop 1960/Wortham Vape,Hookah,Glass, and CBD shop",https://www.facebook.com/Mad-Dog-2-Smoke-Shop-444708019068564/,Yes,400,Yes,0.37s,Yes,Website returns error 400 — site may be broken or misconfigured.
Pineapple Xpress Smoke Shop Jersey Village,https://jersey-village.pine-applexpress.com/,Yes,200,Yes,2.54s,Yes,Issues found: Moderate load time (2.54s); Missing meta description; 26/28 images missing alt text (+1 more). Load: 2.54s.
Smoke Studio LLC - Smoke Shop and Vape Shop Products in Spring Texas,,No,,No,,,No website found — could benefit from a modern online presence.
Smoke Therapy,https://instagram.com/smoketherapy713,Yes,200,Yes,0.50s,Yes,Issues found: Missing meta description; 2/2 images missing alt text; No semantic HTML5 landmarks (header/nav/main) (+1 more). Load: 0.50s.
Smoke N More Smoke shop & Vape shop,https://www.facebook.com/profile.php?id=61568664434822,Yes,400,Yes,0.34s,Yes,Website returns error 400 — site may be broken or misconfigured.
"HIGH KEY | SMOKE SHOP & VAPE SHOP HOUSTON TX | DELTA 8 | THCA | THCP | KRATOM | CBD | HOOKAH | GLASS PIPES",,No,,No,,,No website found — could benefit from a modern online presence.
"Puffzilla Smoke Shop | CBD | VAPE | KRATOM | DELTA THC | HOOKAH | GLASS PIPES | CIGARS",,No,,No,,,No website found — could benefit from a modern online presence.
"Bahama Mama 1960 Smoke Shop | VAPE | CBD | HOOKAH",https://bahama-mama.com/,Yes,200,Yes,0.25s,Yes,Issues found: Missing meta description; 14/14 images missing alt text; No Open Graph social meta tags. Load: 0.25s.
Twisted Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
"Holy Smokes Vape & Smoke | Smoke Shop | Vape | Disposables | Delta 8 |",https://holysmokesstores.com/,Yes,200,Yes,0.67s,Yes,Website loads successfully in 0.67s with SSL and appears well-optimised.
SS Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
Smoker empire,,No,,No,,,No website found — could benefit from a modern online presence.
Nice Dreams Smoke Vape,,No,,No,,,No website found — could benefit from a modern online presence.
Sound Revolution - MUSIC ● SKATE ● WEAR,https://www.soundrevolutionhtx.com/,Yes,200,Yes,0.17s,Yes,Issues found: Excessive inline styles (69 elements). Load: 0.17s.
Puffmeister Smoke & Vape Shop,https://www.facebook.com/profile.php?id=100094764019590,Yes,400,Yes,0.28s,Yes,Website returns error 400 — site may be broken or misconfigured.
"Karma Smoke Shop & Daiquiris To Go - CBD, THC, VAPE, HOOKAH, TOBACCO, GLASS, PIPES,",,No,,No,,,No website found — could benefit from a modern online presence.
DC Smoke Shop,https://www.instagram.com/dcsmokeshop1?igsh=c2k4c3Fsd2J5NDd5,Yes,200,Yes,0.55s,Yes,Issues found: Missing meta description; 2/2 images missing alt text; No semantic HTML5 landmarks (header/nav/main) (+1 more). Load: 0.55s.
SMOKEYDOKE Vape Smoke & Dispensary,https://smokeydoke.com/,Yes,200,Yes,0.10s,Yes,Issues found: Missing meta description; 5/5 images missing alt text; No Open Graph social meta tags. Load: 0.10s.
Rock 'N Roll It,https://rocknrollit.com/,Yes,200,Yes,0.16s,Yes,Issues found: Excessive inline styles (326 elements). Load: 0.16s.
SUPREME SMOKE OPEN 24 HOURS & VAPE & KRATOM & THC & HOOKAH & CIGARS & GLASS PIPES & CBD,,No,,No,,,No website found — could benefit from a modern online presence.
Good O Timez Smoke N Tattoo Supplies,,No,,No,,,No website found — could benefit from a modern online presence.
"MOONLIGHT SMOKE SHOP, VAPE, DELTA 8, CBD, KRATOM, 7OHMZ & TATTOO ACCESSORIES",,No,,No,,,No website found — could benefit from a modern online presence.
Nefertiti Smoke Shop LLC,,No,,No,,,No website found — could benefit from a modern online presence.
Greenhouse Smoke and Vape,,No,,No,,,No website found — could benefit from a modern online presence.
Vitrum smoke shop,,No,,No,,,No website found — could benefit from a modern online presence.
AK Smoke,http://ak.com/,Yes,403,No,0.29s,Yes,Website returns error 403 — site may be broken or misconfigured.
290 SMOKE SHOP,,No,,No,,,No website found — could benefit from a modern online presence.
Discount Tobacco,,No,,No,,,No website found — could benefit from a modern online presence.
Space City Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
STONER NINE SMOKE SHOP I FM 529 SPENCER PLAZA I Delta-8 I Cbd I Hookah I Vape I Vape Juice I,,No,,No,,,No website found — could benefit from a modern online presence.
Cherry Smoke & Vapor & Hookah/E-Cig,,No,,No,,,No website found — could benefit from a modern online presence.
Verde Planet // EADO Smoke n Vape,http://verdepla.net/,Yes,200,No,0.85s,Yes,Issues found: No SSL (HTTP only). No SSL. Load: 0.85s.
Pipes Gifts & More Inc,,No,,No,,,No website found — could benefit from a modern online presence.
Smoke shop,,No,,No,,,No website found — could benefit from a modern online presence.
Stuff N Puff Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
Greenspoint Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
Purple haze smoke shop #3,,No,,No,,,No website found — could benefit from a modern online presence.
CELEBRITY EVENTS SMOKE SHOP & LOUNGE,,No,,No,,,No website found — could benefit from a modern online presence.
Bahama Mama N Shepherd,http://www.bahama-mama.com/,Yes,200,No,0.70s,Yes,Issues found: No SSL (HTTP only); Missing meta description; 14/14 images missing alt text (+1 more). No SSL. Load: 0.70s.
"IAH SMOKE, VAPE, & HOOKAH",https://instagram.com/iahsmoke?igshid=YmMyMTA2M2Y=,Yes,200,Yes,0.68s,Yes,Issues found: Missing meta description; 2/2 images missing alt text; No semantic HTML5 landmarks (header/nav/main) (+1 more). Load: 0.68s.
"Bahama Mama Smoke Shop Sawdust | Vape | Tobacco | CBD | Delta THC | Kratom | Hookah | Disposables | Cigars",,No,,No,,,No website found — could benefit from a modern online presence.
HTown Smoke shop 3,,No,,No,,,No website found — could benefit from a modern online presence.
Pineapple Xpress Smoke Shop 6th Street,http://6thstreet.pine-applexpress.com/,Yes,200,No,3.11s,Yes,Issues found: No SSL (HTTP only); Moderate load time (3.11s); 26/28 images missing alt text. No SSL. Load: 3.11s.
"SMOKE GUYZ | THC VAPES | VAPES | CBD | KRATOM |",http://smokeguyz.com/,Yes,200,No,0.27s,No,Issues found: No SSL (HTTP only); Missing mobile viewport meta tag; Missing <title> tag (+3 more). No SSL. Load: 0.27s.
SMOKE ALLEY,http://smokealley.com/,Yes,200,No,7.77s,Yes,Issues found: No SSL (HTTP only); Slow load time (7.77s). No SSL. Load: 7.77s.
Cali Vibes Smoke Shop,http://calivibessmokeshop.com/,Yes,200,No,0.34s,Yes,Issues found: No SSL (HTTP only); Missing meta description; 8/8 images missing alt text (+1 more). No SSL. Load: 0.34s.
Vape City,https://vapecity.us/,Yes,200,Yes,0.07s,Yes,Issues found: Missing meta description; 10/10 images missing alt text. Load: 0.07s.
Green Smoke Vape & Tobacco,,No,,No,,,No website found — could benefit from a modern online presence.
"Mr Smoke (Delta 8, Vape, CBD, Kratom & Hookah)",,No,,No,,,No website found — could benefit from a modern online presence.
Fantasy,http://fantasy-gifts.com/,Yes,200,No,0.17s,Yes,Issues found: No SSL (HTTP only); 4/4 images missing alt text. No SSL. Load: 0.17s.
Beltway 8 Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
HTown Smoke Shop,,No,,No,,,No website found — could benefit from a modern online presence.
Melting Leaf Cbd Hemp & Smoke,,No,,No,,,No website found — could benefit from a modern online presence.
Memorial Smoke & Vape,,No,,No,,,No website found — could benefit from a modern online presence.
